original_symbol,company_name,sector,ticker,source_url,fetched_at_utc
A,Agilent Technologies,Health Care,A,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AAPL,Apple Inc.,Information Technology,AAPL,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ABBV,AbbVie,Health Care,ABBV,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ABNB,Airbnb,Consumer Discretionary,ABNB,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ABT,Abbott Laboratories,Health Care,ABT,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ACGL,Arch Capital Group,Financials,ACGL,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ACN,Accenture,Information Technology,ACN,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ADBE,Adobe Inc.,Information Technology,ADBE,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ADI,Analog Devices,Information Technology,ADI,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ADM,Archer Daniels Midland,Consumer Staples,ADM,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ADP,Automatic Data Processing,Industrials,ADP,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ADSK,Autodesk,Information Technology,ADSK,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AEE,Ameren,Utilities,AEE,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AEP,American Electric Power,Utilities,AEP,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AES,AES Corporation,Utilities,AES,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AFL,Aflac,Financials,AFL,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AIG,American International Group,Financials,AIG,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AIZ,Assurant,Financials,AIZ,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AJG,Arthur J. Gallagher & Co.,Financials,AJG,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AKAM,Akamai Technologies,Information Technology,AKAM,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ALB,Albemarle Corporation,Materials,ALB,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ALGN,Align Technology,Health Care,ALGN,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ALL,Allstate,Financials,ALL,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
ALLE,Allegion,Industrials,ALLE,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AMAT,Applied Materials,Information Technology,AMAT,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AMCR,Amcor,Materials,AMCR,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AMD,Advanced Micro Devices,Information Technology,AMD,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AME,Ametek,Industrials,AME,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
AMGN,Amgen,Health Care,AMGN,https://en.wikipedia.org/wiki/List_of_S%26P_500_companies,2026-09-25T18:01:35.742155+00:00
