decision_date,ticker,reason
2025-09-25,FDXF,missing_or_nonfinite_ohlcv
2025-09-25,HONA,missing_or_nonfinite_ohlcv
2025-09-25,Q,missing_or_nonfinite_ohlcv
2025-10-02,FDXF,missing_or_nonfinite_ohlcv
2025-10-02,HONA,missing_or_nonfinite_ohlcv
2025-10-02,Q,missing_or_nonfinite_ohlcv
2025-10-09,FDXF,missing_or_nonfinite_ohlcv
2025-10-09,HONA,missing_or_nonfinite_ohlcv
2025-10-09,Q,missing_or_nonfinite_ohlcv
2025-10-16,FDXF,missing_or_nonfinite_ohlcv
2025-10-16,HONA,missing_or_nonfinite_ohlcv
2025-10-16,Q,missing_or_nonfinite_ohlcv
2025-10-23,FDXF,missing_or_nonfinite_ohlcv
2025-10-23,HONA,missing_or_nonfinite_ohlcv
2025-10-23,Q,missing_or_nonfinite_ohlcv
2025-10-30,FDXF,missing_or_nonfinite_ohlcv
2025-10-30,HON,split_in_required_window
2025-10-30,HONA,missing_or_nonfinite_ohlcv
2025-10-30,Q,missing_or_nonfinite_ohlcv
2025-11-06,DD,split_in_required_window
2025-11-06,FDXF,missing_or_nonfinite_ohlcv
2025-11-06,HON,split_in_required_window
2025-11-06,HONA,missing_or_nonfinite_ohlcv
2025-11-06,Q,missing_or_nonfinite_ohlcv
2025-11-13,DD,split_in_required_window
2025-11-13,FDXF,missing_or_nonfinite_ohlcv
2025-11-13,FISV,missing_or_nonfinite_ohlcv
2025-11-13,HON,split_in_required_window
2025-11-13,HONA,missing_or_nonfinite_ohlcv
2025-11-13,Q,missing_or_nonfinite_ohlcv
2025-11-20,DD,split_in_required_window
2025-11-20,FDXF,missing_or_nonfinite_ohlcv
2025-11-20,FISV,missing_or_nonfinite_ohlcv
2025-11-20,HON,split_in_required_window
2025-11-20,HONA,missing_or_nonfinite_ohlcv
2025-11-20,NFLX,split_in_required_window
2025-11-20,Q,missing_or_nonfinite_ohlcv
2025-12-04,DD,split_in_required_window
2025-12-04,FDXF,missing_or_nonfinite_ohlcv
2025-12-04,FISV,missing_or_nonfinite_ohlcv
2025-12-04,HON,split_in_required_window
2025-12-04,HONA,missing_or_nonfinite_ohlcv
2025-12-04,NFLX,split_in_required_window
2025-12-04,Q,missing_or_nonfinite_ohlcv
2025-12-11,DD,split_in_required_window
2025-12-11,FDXF,missing_or_nonfinite_ohlcv
2025-12-11,FISV,missing_or_nonfinite_ohlcv
2025-12-11,HONA,missing_or_nonfinite_ohlcv
2025-12-11,NFLX,split_in_required_window
2025-12-18,FDXF,missing_or_nonfinite_ohlcv
2025-12-18,FISV,missing_or_nonfinite_ohlcv
2025-12-18,HONA,missing_or_nonfinite_ohlcv
2025-12-18,NFLX,split_in_required_window
2025-12-18,NOW,split_in_required_window
2026-01-08,CMCSA,split_in_required_window
2026-01-08,FDXF,missing_or_nonfinite_ohlcv
2026-01-08,HONA,missing_or_nonfinite_ohlcv
2026-01-08,NOW,split_in_required_window
2026-01-08,TPL,split_in_required_window
2026-01-15,AMCR,split_in_required_window
2026-01-15,CMCSA,split_in_required_window
2026-01-15,FDXF,missing_or_nonfinite_ohlcv
2026-01-15,HONA,missing_or_nonfinite_ohlcv
2026-01-15,NOW,split_in_required_window
2026-01-15,TPL,split_in_required_window
2026-01-22,AMCR,split_in_required_window
2026-01-22,CMCSA,split_in_required_window
2026-01-22,FDXF,missing_or_nonfinite_ohlcv
2026-01-22,HONA,missing_or_nonfinite_ohlcv
2026-01-22,NOW,split_in_required_window
2026-01-22,TPL,split_in_required_window
2026-01-29,AMCR,split_in_required_window
2026-01-29,CMCSA,split_in_required_window
2026-01-29,FDXF,missing_or_nonfinite_ohlcv
2026-01-29,HONA,missing_or_nonfinite_ohlcv
2026-01-29,NOW,split_in_required_window
2026-01-29,TPL,split_in_required_window
2026-02-05,AMCR,split_in_required_window
2026-02-05,CMCSA,split_in_required_window
2026-02-05,FDXF,missing_or_nonfinite_ohlcv
2026-02-05,HONA,missing_or_nonfinite_ohlcv
2026-02-12,AMCR,split_in_required_window
