population,bucket,n,continuation_count,continuation_rate,neutral_count,neutral_rate,stall_count,stall_rate,friday_return_mean,friday_return_median,friday_excess_mean,friday_excess_median
all_qualified,"[0,20)",290,11,0.03793103448275862,133,0.4586206896551724,146,0.503448275862069,-0.0014988584756809515,0.0,0.00027060998788170943,0.00158570165392605
all_qualified,"[20,40)",594,46,0.07744107744107744,255,0.4292929292929293,293,0.49326599326599324,-0.0008780934782535928,0.00057998256898065,-0.00019198945949155634,-0.00025885295029435
all_qualified,"[40,60)",609,87,0.14285714285714285,249,0.4088669950738916,273,0.4482758620689655,4.2584097744594256e-05,0.0022272002502126,0.00034350328836915125,0.0008781380959388
all_qualified,"[60,80)",593,139,0.23440134907251264,167,0.28161888701517707,287,0.4839797639123103,0.0007790439034652925,0.0006096566834408,0.0004531150993746796,-0.0009914024047679
all_qualified,"[80,100]",359,125,0.34818941504178275,57,0.15877437325905291,177,0.49303621169916434,0.00037142865955980866,0.0005174449390781,0.0005860768406247852,-0.000430944966304
pm_top10,"[0,20)",26,1,0.038461538461538464,13,0.5,12,0.46153846153846156,-0.005986159020181334,0.00236523799831595,-0.0020120866744295397,0.0066225210668943504
pm_top10,"[20,40)",84,6,0.07142857142857142,35,0.4166666666666667,43,0.5119047619047619,-0.001655883857622183,-0.0002390057078824,-0.003045101705330879,-0.0008590240017797501
pm_top10,"[40,60)",151,20,0.13245033112582782,64,0.423841059602649,67,0.44370860927152317,-0.0017451497154659895,0.0026785910003577,-0.0008756725058950862,0.0021840528658768
pm_top10,"[60,80)",115,30,0.2608695652173913,30,0.2608695652173913,55,0.4782608695652174,0.0007183466211520169,0.0003488934049464,-0.0005738723353080319,-0.0028034753390437
pm_top10,"[80,100]",84,29,0.34523809523809523,15,0.17857142857142858,40,0.47619047619047616,0.003524657440374309,0.0009915819902867999,0.004648076682260603,-0.00026612626417139997
