decision_date,scanned,eligible_universe_count,qualified_count,pm_visible_count,friday_status,exclusion
2025-09-25,True,500,48,10,completed,
2025-10-02,True,500,49,10,completed,
2025-10-09,True,500,53,10,completed,
2025-10-16,True,500,18,10,completed,
2025-10-23,True,500,58,10,completed,
2025-10-30,True,499,36,10,completed,
2025-11-06,True,498,46,10,completed,
2025-11-13,True,497,132,10,completed,
2025-11-20,True,496,75,10,completed,
2025-11-27,False,0,0,0,completed,Thursday holiday
2025-12-04,True,496,29,10,completed,
2025-12-11,True,498,49,10,completed,
2025-12-18,True,498,166,10,completed,
2025-12-25,False,0,0,0,completed,Thursday holiday
2026-01-01,False,0,0,0,completed,Thursday holiday
2026-01-08,True,498,12,10,completed,
2026-01-15,True,497,54,10,completed,
2026-01-22,True,497,41,10,completed,
2026-01-29,True,497,46,10,completed,
2026-02-05,True,499,18,10,completed,
2026-02-12,True,498,34,10,completed,
2026-02-19,True,499,108,10,completed,
2026-02-26,True,499,38,10,completed,
2026-03-05,True,500,71,10,completed,
2026-03-12,True,500,39,10,completed,
2026-03-19,True,500,23,10,completed,
2026-03-26,True,501,129,10,completed,
2026-04-02,True,501,45,10,holiday,
2026-04-09,True,500,12,10,completed,
2026-04-16,True,500,38,10,completed,
2026-04-23,True,500,39,10,completed,
2026-04-30,True,500,40,10,completed,
2026-05-07,True,500,53,10,completed,
2026-05-14,True,499,47,10,completed,
2026-05-21,True,500,64,10,completed,
2026-05-28,True,500,87,10,completed,
2026-06-04,True,499,57,10,completed,
2026-06-11,True,499,59,10,completed,
2026-06-18,True,498,62,10,holiday,
2026-06-25,True,498,51,10,completed,
2026-07-02,True,495,98,10,holiday,
2026-07-09,True,496,32,10,completed,
2026-07-16,True,497,26,10,completed,
2026-07-23,True,497,48,10,completed,
2026-07-30,True,499,22,10,completed,
2026-08-06,True,500,72,10,completed,
2026-08-13,True,502,76,10,completed,
2026-08-20,True,502,35,10,completed,
2026-08-27,True,502,88,10,completed,
2026-09-03,True,501,18,10,completed,
2026-09-10,True,501,54,10,completed,
2026-09-17,True,501,58,10,completed,
2026-09-24,True,502,65,10,pending,
